setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,recompte
42,2021,18/10/2021,24/10/2021,78,BARCELONA,7802,METROPOLITANA NORD,20.00
29,2022,18/07/2022,24/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,2.00
36,2020,31/08/2020,06/09/2020,78,BARCELONA,7803,BARCELONA CIUTAT,53.00
47,2020,16/11/2020,22/11/2020,78,BARCELONA,7802,METROPOLITANA NORD,155.00
40,2020,28/09/2020,04/10/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,16.00
7,2021,15/02/2021,21/02/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,41.00
53,2020,28/12/2020,03/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,81.00
35,2022,29/08/2022,04/09/2022,64,GIRONA,6400,GIRONA,1.00
25,2020,15/06/2020,21/06/2020,78,BARCELONA,7803,BARCELONA CIUTAT,14.00
43,2020,19/10/2020,25/10/2020,61,LLEIDA,6100,LLEIDA,14.00
4,2021,25/01/2021,31/01/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,32.00
3,2022,17/01/2022,23/01/2022,78,BARCELONA,7801,METROPOLITANA SUD,74.00
34,2020,17/08/2020,23/08/2020,64,GIRONA,6400,GIRONA,5.00
34,2021,23/08/2021,29/08/2021,78,BARCELONA,7803,BARCELONA CIUTAT,149.00
8,2021,22/02/2021,28/02/2021,78,BARCELONA,7801,METROPOLITANA SUD,72.00
33,2021,16/08/2021,22/08/2021,78,BARCELONA,7801,METROPOLITANA SUD,63.00
38,2021,20/09/2021,26/09/2021,61,LLEIDA,6100,LLEIDA,6.00
35,2020,24/08/2020,30/08/2020,61,LLEIDA,6100,LLEIDA,17.00
43,2021,25/10/2021,31/10/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,4.00
50,2021,13/12/2021,19/12/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,21.00
26,2021,28/06/2021,04/07/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,2.00
37,2021,13/09/2021,19/09/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,14.00
21,2021,24/05/2021,30/05/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,8.00
21,2022,23/05/2022,29/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,12.00
37,2022,12/09/2022,18/09/2022,78,BARCELONA,7802,METROPOLITANA NORD,0.00
36,2021,06/09/2021,12/09/2021,78,BARCELONA,7802,METROPOLITANA NORD,69.00
23,2020,01/06/2020,07/06/2020,61,LLEIDA,6100,LLEIDA,5.00
17,2022,25/04/2022,01/05/2022,78,BARCELONA,7801,METROPOLITANA SUD,4.00
10,2021,08/03/2021,14/03/2021,61,LLEIDA,6100,LLEIDA,18.00
31,2020,27/07/2020,02/08/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,4.00
1,2021,04/01/2021,10/01/2021,64,GIRONA,6400,GIRONA,43.00
7,2022,14/02/2022,20/02/2022,64,GIRONA,6400,GIRONA,31.00
36,2021,06/09/2021,12/09/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,16.00
18,2020,27/04/2020,03/05/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,43.00
24,2021,14/06/2021,20/06/2021,78,BARCELONA,7803,BARCELONA CIUTAT,58.00
