setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,1,4.00,2434.00
5,2021,01/02/2021,07/02/2021,64,GIRONA,6400,GIRONA,Home,80 o més,4,10.00,6428.00
38,2021,20/09/2021,26/09/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,1.00,34631.00
29,2020,13/07/2020,19/07/2020,61,LLEIDA,6100,LLEIDA,Home,80 o més,3,1.00,5540.00
5,2022,31/01/2022,06/02/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,80 o més,3,1.00,3599.00
12,2021,22/03/2021,28/03/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,60 a 69,3,1.00,19604.00
6,2021,08/02/2021,14/02/2021,64,GIRONA,6400,GIRONA,Home,60 a 69,3,5.00,26781.00
13,2020,23/03/2020,29/03/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 59,3,8.00,107038.00
51,2020,14/12/2020,20/12/2020,64,GIRONA,6400,GIRONA,Home,70 a 79,4,1.00,11935.00
17,2022,25/04/2022,01/05/2022,64,GIRONA,6400,GIRONA,Home,80 o més,3,2.00,10434.00
25,2020,15/06/2020,21/06/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 59,3,1.00,107038.00
43,2020,19/10/2020,25/10/2020,61,LLEIDA,6100,LLEIDA,Home,45 a 59,3,1.00,27379.00
30,2022,25/07/2022,31/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,1,1.00,12016.00
19,2022,09/05/2022,15/05/2022,64,GIRONA,6400,GIRONA,Dona,80 o més,4,2.00,10664.00
4,2021,25/01/2021,31/01/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,60 a 69,4,1.00,11618.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 59,4,1.00,19758.00
39,2020,21/09/2020,27/09/2020,64,GIRONA,6400,GIRONA,Home,80 o més,4,2.00,6201.00
31,2021,02/08/2021,08/08/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,3.00,8009.00
4,2022,24/01/2022,30/01/2022,64,GIRONA,6400,GIRONA,Dona,80 o més,4,8.00,10664.00
15,2021,12/04/2021,18/04/2021,61,LLEIDA,6100,LLEIDA,Home,70 a 79,4,1.00,4217.00
